Date,BZ=F,IMOEX.ME,USDRUB=X
2016-01-01,,,73.2300033569336
2016-01-04,37.220001220703125,1734.56005859375,73.4000015258789
2016-01-05,36.41999816894531,1754.1300048828125,73.12249755859375
2016-01-06,34.22999954223633,1748.5699462890625,71.61999940872192
2016-01-07,33.75,,74.59500122070312
2016-01-08,33.54999923706055,,74.59500122070312
2016-01-11,31.549999237060547,1682.5400390625,74.79499816894531
2016-01-12,30.860000610351562,1690.300048828125,76.00199890136719
2016-01-13,30.309999465942383,1684.780029296875,76.5250015258789
2016-01-14,31.030000686645508,1680.77001953125,76.21299743652344
2016-01-15,31.010000228881836,1608.3599853515625,76.29299926757812
2016-01-18,,1622.4300537109375,77.70700073242188
2016-01-19,28.760000228881836,1645.56005859375,79.36000061035156
2016-01-20,27.8799991607666,1630.3900146484375,78.61250305175781
2016-01-21,29.25,1677.18994140625,81.81999969482422
2016-01-22,32.18000030517578,1717.97998046875,82.9000015258789
2016-01-25,30.5,1716.56005859375,78.37000274658203
2016-01-26,31.799999237060547,1705.010009765625,79.83999633789062
2016-01-27,33.099998474121094,1747.5699462890625,78.2300033569336
2016-01-28,33.88999938964844,1771.9300537109375,77.8489990234375
2016-01-29,34.7400016784668,1784.9200439453125,76.55000305175781
2016-02-01,34.689998626708984,1773.2099609375,75.44000244140625
2016-02-02,32.720001220703125,1758.260009765625,77.26000213623047
2016-02-03,35.040000915527344,1746.3499755859375,79.71499633789062
2016-02-04,34.459999084472656,1787.9300537109375,76.93000030517578
2016-02-05,34.060001373291016,1780.5899658203125,76.7699966430664
2016-02-08,32.880001068115234,1744.27001953125,77.25
2016-02-09,30.31999969482422,1723.3599853515625,78.94000244140625
2016-02-10,30.84000015258789,1730.8299560546875,79.58999633789062
2016-02-11,30.059999465942383,1711.5799560546875,78.37000274658203
2016-02-12,33.36000061035156,1726.0400390625,79.76750183105469
2016-02-15,,1738.5400390625,78.30999755859375
2016-02-16,32.18000030517578,1753.8599853515625,77.5
2016-02-17,34.5,1770.31005859375,77.80999755859375
2016-02-18,34.279998779296875,1807.2099609375,74.86000061035156
2016-02-19,33.0099983215332,1793.3699951171875,76.3499984741211
2016-02-22,34.689998626708984,1822.3800048828125,77.37000274658203
2016-02-23,33.27000045776367,,77.37000274658203
2016-02-24,34.40999984741211,1797.27001953125,76.0999984741211
2016-02-25,35.290000915527344,1803.8900146484375,75.73500061035156
2016-02-26,35.099998474121094,1816.72998046875,75.18000030517578
2016-02-29,35.970001220703125,1840.1700439453125,76.33999633789062
2016-03-01,35.959999084472656,1844.1700439453125,74.40499877929688
2016-03-02,36.93000030517578,1832.8399658203125,73.27999877929688
2016-03-03,37.06999969482422,1858.68994140625,73.3499984741211
2016-03-04,38.720001220703125,1878.2900390625,73.08999633789062
2016-03-07,40.84000015258789,1909.5699462890625,73.08999633789062
2016-03-08,39.650001525878906,,73.08999633789062
2016-03-09,41.06999969482422,1883.0,71.87000274658203
2016-03-10,40.04999923706055,1884.6300048828125,70.98200225830078
2016-03-11,40.38999938964844,1876.5400390625,71.14800262451172
2016-03-14,39.529998779296875,1865.31005859375,69.90499877929688
2016-03-15,38.7400016784668,1855.06005859375,70.26000213623047
2016-03-16,40.33000183105469,1871.199951171875,71.08999633789062
2016-03-17,41.540000915527344,1890.7900390625,69.83499908447266
2016-03-18,41.20000076293945,1914.02001953125,68.12000274658203
2016-03-21,41.540000915527344,1904.5,68.33000183105469
2016-03-22,41.790000915527344,1903.469970703125,67.86000061035156
2016-03-23,40.470001220703125,1879.8900146484375,67.25
2016-03-24,40.439998626708984,1866.6700439453125,68.71499633789062
2016-03-25,,,68.58000183105469
2016-03-28,40.27000045776367,1849.31005859375,68.23999786376953
2016-03-29,39.13999938964844,1845.199951171875,68.41000366210938
2016-03-30,39.2599983215332,1868.0999755859375,68.06500244140625
2016-03-31,39.599998474121094,1871.1500244140625,67.68000030517578
2016-04-01,39.65999984741211,1856.77001953125,67.0
2016-04-04,37.689998626708984,1866.6400146484375,67.5
2016-04-05,37.869998931884766,1857.0899658203125,68.6500015258789
2016-04-06,39.84000015258789,1860.1700439453125,68.75
